Loading,SSA,DP,TPV,D_M,PE_M,FIE_M,MR_M,EA_M,WF_M,AN_M,BM_M,MP_M,MP_S,Temp,Time,C_wt,P,SV,conver,selec
20,125,100,0.4,,1.91,7.64,124,1.16,5.15,28,180,1455,2072,439.85,30,1,0.1,,92,
20,125,100,0.4,,1.91,7.64,124,1.16,5.15,28,180,1455,2072,439.85,60,1,0.1,,92,
20,125,100,0.4,,1.91,7.64,124,1.16,5.15,28,180,1455,2072,439.85,90,1,0.1,,92,
20,125,100,0.4,,1.91,7.64,124,1.16,5.15,28,180,1455,2072,439.85,120,1,0.1,,92,
20,125,100,0.4,,1.91,7.64,124,1.16,5.15,28,180,1455,2072,439.85,150,1,0.1,,92,
20,125,100,0.4,,1.91,7.64,124,1.16,5.15,28,180,1455,2072,439.85,180,1,0.1,,92,
20,322,5.2,0.86,,1.91,7.64,124,1.16,5.15,28,180,1455,1710,439.85,,1,0.1,,90,
1,,,,,2.28,9,139,2.13,5.65,78,230,1768,2072,349.85,5,0.05,0.1,,87.8,
1,,,,,2.28,9,139,2.13,5.65,78,230,1768,2072,349.85,15,0.05,0.1,,86.46,
1,,,,,2.28,9,139,2.13,5.65,78,230,1768,2072,349.85,30,0.05,0.1,,84.67,
1,,,,,2.28,9,139,2.13,5.65,78,230,1768,2072,349.85,45,0.05,0.1,,82.89,
1,,,,,2.28,9,139,2.13,5.65,78,230,1768,2072,349.85,60,0.05,0.1,,81.48,
1,,,,,2.28,9,139,2.13,5.65,78,230,1768,2072,349.85,90,0.05,0.1,,79.92,
1,,,,,2.28,9,139,2.13,5.65,78,230,1768,2072,349.85,120,0.05,0.1,,77.9,
1,,,,,2.28,9,139,2.13,5.65,78,230,1768,2072,349.85,150,0.05,0.1,,75.98,
1,,,,,2.28,9,139,2.13,5.65,78,230,1768,2072,349.85,180,0.05,0.1,,74.58,
1,,,,,2.28,9,139,2.13,5.65,78,230,1768,2072,315,30,0.5,0.1,,95,100
1,,,,,2.28,9,139,2.13,5.65,78,230,1768,2072,315,60,0.5,0.1,,93.88,100
1,,,,,2.28,9,139,2.13,5.65,78,230,1768,2072,315,90,0.5,0.1,,92.17,100
1,,,,,2.28,9,139,2.13,5.65,78,230,1768,2072,315,120,0.5,0.1,,91.46,100
1,,,,,2.28,9,139,2.13,5.65,78,230,1768,2072,315,160,0.5,0.1,,90.61,100
1,,,,,2.28,9,139,2.13,5.65,78,230,1768,2072,315,190,0.5,0.1,,89.9,100
1,,,,,2.28,9,139,2.13,5.65,78,230,1768,2072,315,220,0.5,0.1,,89.33,100
1,,,,,2.28,9,139,2.13,5.65,78,230,1768,2072,315,325,0.5,0.1,,88.9,100
17.16,134.53,13.76,0.48,5.66,1.91,7.64,124,1.16,5.15,28,180,1455,1843,375,,50,0.1,1.9,86.48,96.51
